adult,backdrop_path,genre_ids/0,genre_ids/1,genre_ids/2,genre_ids/3,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_ids/4,genre_ids/5
false,https://image.tmdb.org/t/p/w300/9xNOiv6DZZjH7ABoUUDP0ZynouU.jpg,28,80,35,,495764,en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",149.365,https://image.tmdb.org/t/p/w300/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),false,7.2,6490,,
false,https://image.tmdb.org/t/p/w300/tWxCVe4rQZa3BvR3tMT3t74oVTT.jpg,28,878,,,713825,en,Robot Riot,Unconscious soldiers are dropped into a testing site only to discover their memories have been wiped and that once docile machines are the new intelligence.,147.098,https://image.tmdb.org/t/p/w300/pXv4qbWyj6ycMaWkK2LzlizZQjf.jpg,2020-12-23,Robot Riot,false,2.6,7,,
false,https://image.tmdb.org/t/p/w300/jkJ0aOSLveT9N6csgRxAAotPwJ.jpg,53,27,,,715239,en,Triggered,"Nine friends, all harboring a dark secret, go camping in the woods. After a wild night of partying, they wake up with suicide bombs strapped to their chests, all with varying times on their countdown clocks. They decide to work out how to disarm the bombs or find help - until they discover they can 'take' one another's time by killing each other.",226.076,https://image.tmdb.org/t/p/w300/KvhqUA8EtywXYCHb9up4cnG5en.jpg,2020-08-28,Triggered,false,6.2,14,,
false,https://image.tmdb.org/t/p/w300/pcIwP8OdcYk1hFyDLHs3Mrrb7PR.jpg,28,14,53,,489326,en,Mortal,A young boy must discover the origins of his extraordinary powers before he is captured by authorities hell-bent on condemning him for an accidental murder.,214.379,https://image.tmdb.org/t/p/w300/aVbqhqYtlxwEGihTEhewZAgDOCX.jpg,2020-02-28,Mortal,false,6.5,220,,
false,https://image.tmdb.org/t/p/w300/650xHCrA3hlEXggrfPiVKhkAqmb.jpg,16,10751,35,,768509,en,Captain Underpants: Mega Blissmas,Christmas gets weird - really weird - after George and Harold go back in time to change up a few of their beloved holiday's traditions.,188.855,https://image.tmdb.org/t/p/w300/uiiM9DiRWLyXJfGCQe03CseURFo.jpg,2020-12-04,Captain Underpants: Mega Blissmas,false,5.8,4,,
false,https://image.tmdb.org/t/p/w300/e1zdlboXWPtOgY5TgeEEhYhJ098.jpg,27,53,,,728791,en,Playhouse,"Reckless Jack Travis is an irreverent horror writer notorious for scaring audiences. But as he obsesses over creating a new theatre show set in a haunted Scottish castle, demonic disturbances from deep within the walls begin to prey on his troubled daughter. When the alarming supernatural forces start to close in on him too, Jack is forced to reckon with the terrifying consequences of creating such a dark and macabre play. But will he realise the danger of unearthing a historic curse and stop writing before he damns himself, his personal sanity and those he loves forever?",212.722,https://image.tmdb.org/t/p/w300/cF4tZH8VQ6Lic3bi4WKwWDJODQf.jpg,2021-01-28,Playhouse,false,0,0,,
false,https://image.tmdb.org/t/p/w300/36xTkr5CxVGKqe55q6lxVa8LyK3.jpg,35,10751,,,755339,pt,Tudo Bem no Natal Que Vem,"After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year.",199.425,https://image.tmdb.org/t/p/w300/pv4e8yKGMJAaZihYPFUjYHsG8Ob.jpg,2020-12-03,Just Another Christmas,false,7.6,182,,
false,https://image.tmdb.org/t/p/w300/eo6pahstCYRUm0Lk4MORmfCs2SH.jpg,16,,,,752455,en,Angela's Christmas Wish,"A determined Angela makes a wish to reunite her family in time for Christmas, then launches a plan to find her way from Ireland to Australia.",182.129,https://image.tmdb.org/t/p/w300/eu747ko823mktL3ygo7ohdZznP7.jpg,2020-12-01,Angela's Christmas Wish,false,6.2,40,,
false,https://image.tmdb.org/t/p/w300/yY35sdVZtJXjeBONWH8HBXnxDgD.jpg,10751,16,35,12,508442,en,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful gig at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",228.647,https://image.tmdb.org/t/p/w300/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,2020-12-25,Soul,false,10,3,10402,14
false,https://image.tmdb.org/t/p/w300/pY2Zh4ki7pS5BkAX2z3JLx5gzM1.jpg,10751,16,,,766534,en,A Go! Go! Cory Carson Christmas,"When a familiar-looking stranger crashes in without a memory, cory helps him remember the magic of Christmas to save the holiday for everyone",200.297,https://image.tmdb.org/t/p/w300/fTsULguy08O7nRmkhifnGtAcDq9.jpg,2020-11-27,A Go! Go! Cory Carson Christmas,false,7.5,6,,
false,https://image.tmdb.org/t/p/w300/jGVQ3HdSTdv6OidEhX88Z5Lpiru.jpg,35,,,,676838,es,El Testamento de la Abuela,"When the grandmother decides that it is time to put the family affairs in order, the fights begin to inherit the house. A sequel to 'Grandma's Wedding'.",179.532,https://image.tmdb.org/t/p/w300/h1BZHYQl3pGOgaGDK6zwrOsYIop.jpg,2020-10-09,El Testamento de la Abuela,false,6.8,17,,
false,https://image.tmdb.org/t/p/w300/75ooojtgiKYm5LcCczbCexioZze.jpg,35,,,,660982,en,American Pie Presents: Girls' Rules,"It's Senior year at East Great Falls. Annie, Kayla, Michelle, and Stephanie decide to harness their girl power and band together to get what they want their last year of high school.",193.355,https://image.tmdb.org/t/p/w300/xqvX5A24dbIWaeYsMTxxKX5qOfz.jpg,2020-10-06,American Pie Presents: Girls' Rules,false,6.2,176,,
false,https://image.tmdb.org/t/p/w300/DpPoSYKlfcHUdOLQNdaUiF7liS.jpg,10749,18,,,568467,en,Ammonite,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",192.761,https://image.tmdb.org/t/p/w300/5lx4pUHWZoOKJWsVsvurRRNW9FK.jpg,2020-11-13,Ammonite,false,7.2,72,,
